fid,cr_dens,price,morfotype,cluster,minor_roads_dens,tree_dens,poi_dens,ma_morf,morfotype_unique,empt_place,parks,rail,trunk
350,0.91195,1,2,12,8.17038,3.324,2.216,1,1,1,1,0,0
351,0.36504,3,2,32,2.03014,0,0.08,0,2,1,1,0,0
352,0.20174,3,2,32,1.45987,4.38,1.739,0,2,1,1,0,0
353,0.83644,2,3,23,2.81247,0.485,2.913,1,3,1,1,0,0
354,1.02203,3,3,33,9.53253,6.85,3.425,0,2,1,1,0,0
355,0.06037,1,2,12,3.55472,2.657,1.563,0,1,1,1,0,0
356,0.42764,2,3,23,3.49682,3.34,0.139,0,2,1,1,0,0
357,0.76752,2,1,21,8.06435,2.23,8.361,0,2,1,1,0,0
358,0.55524,3,2,32,29.25074,4.472,13.417,0,2,1,1,0,0
359,0.27887,1,2,12,4.49934,4.961,0.595,1,2,1,1,0,0
360,0.51960,1,2,12,6.99835,3.566,0,1,3,1,1,0,0
361,0.78673,1,2,12,11.44361,6.3,2.291,1,2,1,1,0,0
362,0.40704,1,2,12,14.95454,7.124,2.137,1,3,1,1,0,0
364,1.25504,1,2,12,52.68427,13.539,6.769,1,1,1,1,0,0
365,0.23435,3,3,33,4.36502,8.21,2.965,0,2,1,1,0,0
367,0.74655,3,2,32,2.62358,5.438,2.909,0,3,1,1,0,0
368,6.51484,3,1,31,12.30436,7.28,2.912,1,3,1,1,0,0
369,0.13558,1,1,11,0.481,0,0.131,1,2,0,1,1,1
370,5.61339,1,1,11,6.98881,0,2.177,1,2,0,1,1,1
371,0.13340,1,1,11,0.60042,0,0.048,1,1,1,1,1,0
372,0.26146,2,1,21,2.95753,0,0.18,1,2,0,1,1,1
373,0.15476,1,2,12,13.02422,0,0,0,2,0,1,0,1
374,0.25393,2,3,23,1.23325,1.672,3.679,1,1,1,1,0,0
377,0.23210,2,1,21,0.31753,0,0.128,1,1,0,0,0,0
378,0.28850,1,2,12,5.87656,5.348,0.535,0,1,1,1,0,0
379,0.54103,1,2,12,6.47255,12.936,1.327,0,2,1,1,0,0
380,0.63167,1,2,12,12.99766,2.094,0,1,2,1,1,0,0
382,0.14542,1,1,11,1.17898,0,0,1,1,0,1,1,0
383,0.09709,3,1,31,0.2038,0,0.017,0,1,1,1,0,0
384,0.62851,1,2,12,8.4532,09.03,1.806,1,3,1,1,0,0
385,0.35869,2,1,21,2.26035,0,0,1,1,0,1,1,0
386,0.67282,2,2,22,2.9992,20.564,0.608,0,3,1,1,0,0
387,0.58917,2,1,21,2.49707,7.194,0.322,0,3,1,1,0,0
388,0.17312,1,3,13,1.74464,18.393,0.196,0,3,1,1,0,0
389,0.43528,2,2,22,4.38644,6.073,0.19,0,2,1,1,0,0
390,1.60532,1,1,11,6.27737,26.721,0,1,3,1,1,0,1
391,0.37674,1,1,11,1.05326,4.988,0.309,1,2,1,1,0,0
392,0.41684,2,2,22,3.89168,12.523,0.522,1,2,1,1,0,0
393,0.26212,1,2,12,3.81025,12.16,0.176,0,2,1,1,0,1
398,0.41002,2,2,22,2.74896,19.971,0.449,0,3,1,1,0,0
402,0.56806,1,2,12,3.47541,11.039,0.761,0,2,1,1,0,1
403,0.29044,1,1,11,1.64728,4.27,0.453,1,2,1,1,0,0
404,0.31447,1,2,12,4.60163,16.433,0.2,0,2,1,1,0,0
405,0.76501,1,1,11,1.72125,5.035,0.21,1,3,1,1,0,1
406,0.13756,2,3,23,2.4269,0,0,0,3,1,1,0,0
408,0.44538,1,1,11,1.49123,4.868,0.146,0,2,1,1,0,1
409,0.56951,1,1,11,1.85659,1.229,0.23,1,2,1,1,0,1
410,0.38328,1,2,12,1.14952,10.66,0.319,0,2,1,1,0,0
411,0.55388,1,2,12,1.75331,7.745,2.269,0,2,1,1,0,1
412,0.41215,2,2,22,3.37016,11.241,0.129,0,2,1,1,0,0
413,1.56538,1,1,11,15.81863,11.567,26.692,1,2,1,1,0,1
414,0.92307,1,2,12,4.66025,11.873,7.45,0,2,1,1,0,1
415,0.78668,1,2,12,1.96293,11.957,2.317,0,2,1,1,0,0
416,0.08953,2,2,22,8.19107,12.684,0.725,0,2,1,1,0,0
417,1.64941,3,2,32,16.19591,39.67,0.748,1,2,1,1,0,0
418,0.44966,2,3,23,3.38746,6.952,1.014,0,3,1,1,0,0
419,0.45427,1,2,12,2.67115,18.446,0.944,1,3,1,1,0,0
422,0.71041,3,2,32,6.79247,11.038,2.484,1,3,1,1,0,0
424,2.10501,2,2,22,32.25372,52.05,0,1,1,1,1,0,0
425,3.21427,1,1,11,60.13236,23.84,7.947,1,2,1,1,0,0
426,0.32317,1,1,11,2.00843,11.767,0.077,0,2,1,1,0,0
427,0.64813,2,1,21,3.11279,2.077,0.13,0,3,1,1,0,0
428,0.08554,1,2,12,115.81204,11.337,0,0,2,1,1,0,0
429,2.65781,2,2,22,38.72078,36.326,0,1,1,1,1,0,0
430,0.10233,1,2,12,2.2247,3.716,0,0,2,1,1,0,0
431,0.74439,2,2,22,9.4502,53.705,0.475,1,2,1,1,0,0
432,1.06515,2,1,21,4.12041,21.737,0.178,0,2,1,1,0,0
433,0.69978,2,1,21,2.55997,7.618,0.297,0,2,1,1,0,0
434,0.05844,1,2,12,0.61658,2.456,0.45,0,3,1,1,0,0
435,1.65781,1,1,11,14.11677,21.452,8.996,1,2,1,1,0,0
436,1.43060,2,2,22,31.13831,41.433,0,1,1,1,1,0,0
437,0.58320,2,2,22,1.69312,8.235,0.484,0,3,1,1,0,0
438,4.88300,3,1,31,0.21931,0,0.057,1,1,1,1,0,0
440,0.76092,2,2,22,14.82405,42.438,1.326,0,1,1,1,0,0
441,0.54528,3,2,32,10.12986,9.498,3.618,0,2,1,1,0,0
442,2.21059,3,2,32,25.93257,27.775,0,1,1,1,1,0,0
443,0.44318,1,2,12,1.15287,3.548,0.14,0,2,1,1,0,1
444,3.47589,1,1,11,1.87023,3.218,0.392,0,2,1,1,0,0
445,0.26690,2,2,22,0.59968,4.014,0.202,0,2,1,1,0,0
446,0.38596,1,2,12,0.70178,3.132,0.185,0,3,1,1,0,0
447,0.13366,1,1,11,1.49557,11.262,0,1,1,0,1,0,0
448,0.36667,1,1,11,1.75802,0.463,0,1,1,0,1,0,0
450,0.15318,1,1,11,0.66868,4.196,0.028,0,2,0,1,0,1
451,0.95141,1,1,11,1.70362,2.231,0,1,1,0,1,0,0
452,0.17871,1,1,11,0.67858,1.899,0,1,1,0,1,0,1
